Site ID,Parent Site ID,Site Name,Short Name,Type,Latitude,Longitude,Start_Date,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,geolocation
T0033,T0033,Normanby Bikeway (Brisbane City),"Normanby Bikeway, Brisbane City",Automatic,-27.461188,153.016162,,,,,,,,,,,,,,,,,,,,,,,,"-27.461188, 153.016162"
T0036,T0036,Centenary Cycleway (Toowong),"Centenary Cycleway, Toowong",Automatic,-27.4788,152.98195,,,,,,,,,,,,,,,,,,,,,,,,"-27.4788, 152.98195"
M006,M006,"Bicentennial Bikeway Land St, Auchenflower","Bicentennial Bikeway Land St, Auchenflower",Manual,-27.479643,152.998761,2011,,,,,,,,1,1,1,,,,1,1,1,1,1,1,,1,,"-27.479643, 152.998761"
M007E,M007,"Victoria Bridge (East), Brisbane City","Victoria Br, Brisbane City",Manual,-27.471598,153.022332,2004,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.0,"-27.471598, 153.022332"
M008,M008,"Land Bridge at Inner City Bypass, Spring Hill","Land Br at Inner City Bypass, Spring Hill",Manual,-27.455569,153.024109,2004,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.0,"-27.455569, 153.024109"
M011,M011,"Sandgate Foreshore, Sandgate","Sandgate Foreshore, Sandgate",Manual,-27.3144,153.069714,2004,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.0,"-27.3144, 153.069714"
M013,M013,"Bulimba Creek, Carindale","Bulimba Ck, Carindale",Manual,-27.497931,153.106053,2004,1,1,1,1,1,1,1,1,1,,,,,1,,1,,1,1,,1,,"-27.497931, 153.106053"
M016E,M016,"Jack Pesch Bridge, Indooroopilly","Jack Pesch Br, Indooroopilly",Manual,-27.50745,152.973597,2004,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.0,"-27.50745, 152.973597"
M018,M018,"Kedron Brook Gympie Rd, Lutwyche","Kedron Brook Gympie Rd, Lutwyche",Manual,-27.415995,153.033779,2010,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,,1,,1.0,"-27.415995, 153.033779"
M019,M019,"Kurilpa Bridge, Brisbane City","Kurilpa Br, Brisbane City",Manual,-27.468628,153.019828,2010,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.0,"-27.468628, 153.019828"
M022,M022,"M5 Veloway, Jindalee","M5 Veloway, Jindalee",Manual,-27.528642,152.946953,2010,,,,,,,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,1.0,"-27.528642, 152.946953"
M023,M023,"Wynnum Rd, Murarrie","Wynnum Rd, Murarrie",Manual,-27.471206,153.106842,2010,,,,,,,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,1.0,"-27.471206, 153.106842"
M025S,M025,"Uxbridge St_Days Rd, Grange","Uxbridge St_Days Rd, Grange",Manual,-27.42635,153.019525,2010,,,,,,,1,1,1,,,,,,,,,,1,,1,1.0,"-27.42635, 153.019525"
M026N,M026,"Eleanor Schonell Bridge, St Lucia Ped","Eleanor Schonell Br, St Lucia",Manual,-27.497561,153.018897,2011,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,,1,1,1.0,"-27.497561, 153.018897"
M026S,M026,"Eleanor Schonell Bridge, St Lucia Cycles","Eleanor Schonell Br, St Lucia",Manual,-27.497856,153.018506,2011,,,,,,,,1,1,1,1,1,1,1,1,1,1,,,,,1.0,"-27.497856, 153.018506"
M027,M027,"Stanley St_Annerley Rd, South Brisbane","Stanley St_Annerley Rd, Sth Brisbane",Manual,-27.48555,153.029066,2011,,,,,,,,1,1,1,1,1,1,1,,1,1,1,1,1,1,1.0,"-27.48555, 153.029066"
M032,M032,"Bundal St, Wavell Heights","Bundal St, Wavell Heights",Manual,-27.393681,153.035498,2014,,,,,,,,,,,1,,1,1,1,1,,1,,,,,"-27.393681, 153.035498"
M033,M033,"Indooroopilly Rd_Heroes Ave, Taringa","Indooroopilly Rd_Heroes Ave, Taringa",Manual,-27.492848,152.991739,2014,,,,,,,,,,,1,,1,1,1,1,1,1,1,,,1.0,"-27.492848, 152.991739"
M037,M037,"Riverside Park, Bulimba","Riverside Park, Bulimba",Manual,-27.45476,153.053484,2014,,,,,,,,,,,1,1,,,1,,,,,,,,"-27.45476, 153.053484"
M040N,M040,"Gladstone Rd, Highgate Hill","Gladstone Rd, Highgate Hill",Manual,-27.48773418,153.0188334,2023,,,,,,,,,,,,,,,,,,,1,1,1,,"-27.48773418, 153.0188334"
M042,M042,"Campbell St Path, Bowen Hills","Campbell St Path, Bowen Hills",Manual,-27.44679405,153.0311101,2014,,,,,,,,,,,1,1,,,,,,1,1,1,1,,"-27.44679405, 153.0311101"
M044S,M044,"Bennetts Rd_Old Cleveland Rd, Camp Hill","Bennetts Rd_Old Cleveland Rd, Camp Hill",Manual,-27.492186,153.064525,2015,,,,,,,,,,,,1,,,,,,,1,,,,"-27.492186, 153.064525"
M044N,M044,"Bennetts Rd_Fryar St, Camp Hill","Bennetts Rd_Fryar St, Camp Hill",Manual,-27.48981617,153.0645786,2016,,,,,,,,,,,,,1,1,1,1,,1,1,1,,1.0,"-27.48981617, 153.0645786"
M047E,M047,"Kedron Brook Bikeway, Stafford City","Kedron Brook Bikeway, Stafford City",Manual,-27.413766,153.008874,2015,,,,,,,,,,,,1,,,,,,,,,,,"-27.413766, 153.008874"
M048,M048,"Macquarie St, St Lucia","Macquarie St, St Lucia",Manual,-27.492607,153.007818,2015,,,,,,,,,,,,1,1,1,1,,,,,,1,1.0,"-27.492607, 153.007818"
M050,M050,"Newmarket Railway Station, Newmarket","Newmarket Railway Station, Newmarket",Manual,-27.432418,153.009839,2015,,,,,,,,,,,,1,1,,1,1,1,1,1,1,1,1.0,"-27.432418, 153.009839"
M052,M052,"Nicholson St, Greenslopes","Nicholson St, Greenslopes",Manual,-27.513917,153.045155,2015,,,,,,,,,,,,1,1,,1,,,,1,1,1,,"-27.513917, 153.045155"
M053,M053,"Toohey Rd, Salisbury","Toohey Rd, Salisbury",Manual,-27.53651543,153.0412512,2015,,,,,,,,,,,,1,1,1,,1,,1,,1,,1.0,"-27.53651543, 153.0412512"
M056,M056,"Spencer Park, Newmarket","Spencer Park, Newmarket",Manual,-27.440107,153.010154,2012,,,,,,,,,1,,,,1,,1,,,,1,,1,1.0,"-27.440107, 153.010154"
M056E,M056,"Spencer Park, Mark St, Newmarket","Spencer Park, Mark St, Newmarket",Manual,-27.440428,153.011595,2019,,,,,,,,,,,,,,,,1,1,1,1,1,,,"-27.440428, 153.011595"
M061,M061,"Edward St_Adelaide St, Brisbane City","Edward St_Adelaide St, Brisbane City",Manual,-27.467584,153.026175,2016,,,,,,,,,,,,,1,,,,,1,1,1,1,1.0,"-27.467584, 153.026175"
M062,M062,"George St_Turbot St, Brisbane City","George St_Turbot St, Brisbane City",Manual,-27.468664,153.021322,2016,,,,,,,,,,,,,1,,,,,1,1,1,1,1.0,"-27.468664, 153.021322"
M065,M065,"Cabbage Tree Creek Bikeway, Aspley","Cabbage Tree Ck Bikeway, Aspley",Manual,-27.355985,153.016189,2016,,,,,,,,,,,,,1,1,1,,,,1,1,1,,"-27.355985, 153.016189"
M068,M068,"Commercial Rd_Wyandra St, Teneriffe","Commercial Rd_Wyandra St, Teneriffe",Manual,-27.453713,153.044513,2016,,,,,,,,,,,,,1,,,,1,,1,1,1,1.0,"-27.453713, 153.044513"
M069,M069,"Montague Rd_Vulture St, West End","Montague Rd_Vulture St, West End",Manual,-27.480172,153.005304,2016,,,,,,,,,,,,,1,,1,1,1,1,,,1,1.0,"-27.480172, 153.005304"
M071,M071,"Hardgrave Rd_Vulture St, West End","Hardgrave Rd_Vulture St, West End",Manual,-27.480496,153.007334,2016,,,,,,,,,,,,,1,,,,1,,,,1,,"-27.480496, 153.007334"
M072,M072,"Boundary St_Melbourne St, West End","Boundary St_Melbourne St, West End",Manual,-27.477242,153.012762,2016,,,,,,,,,,,,,1,,1,1,1,1,,1,,1.0,"-27.477242, 153.012762"
M075,M075,"Gympie Rd Bikeway, Marchant Park, Chermside","Gympie Rd Bikeway, Marchant Park, Chermside",Manual,-27.378624,153.029226,2017,,,,,,,,,,,,,,1,1,1,1,1,,,1,,"-27.378624, 153.029226"
M085,M085,"Riverside Dr_ Jane St, West End","Riverside Dr_ Jane St, West End",Manual,-27.476378,153.005282,2017,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1.0,"-27.476378, 153.005282"
